Access to water (in Hrs),Access to electricity,Access to cellphone,Education completed,Wealth Index Factor Score,Latitude,Longitude,Location Name
1.0,3,3,13.1147540984,-0.60046,21.965697,90.126312,"Barguna District, -, Bangladesh"
0.25,3,2,11.4754098361,0.27489,22.221232,90.348908,"Polder 43/2B, Patuakhali District, Patuakhali -, Bangladesh"
0.08,1,1,0.0,0.63216,22.191484,90.212539,"Barguna District, Ayla Patakata -, Bangladesh"
0.17,1,1,0.0,-0.22385000000000002,22.185481,90.167023,"Barguna District, Keorabunia -, Bangladesh"
0.08,0,1,0.0,-0.84562,22.952512,90.450585,"Hizla Subdistrict, Barisal District -, Bangladesh"
0.55,6,6,19.6721311475,-0.046064999999999995,22.654193,90.373125,"Barisal Sadar Subdistrict, Barisal District - 8200, Bangladesh"
0.45,3,5,4.9180327869,-0.59752,22.733407,90.572067,"Mehendiganj Subdistrict, Barisal District -, Bangladesh"
0.33,2,2,10.6557377049,0.972645,22.919862,90.084578,"Wazirpur Subdistrict, Barisal District -, Bangladesh"
0.58,6,6,15.5737704918,-0.173455,22.765777,90.608171,"Bhola District, Bhola -, Bangladesh"
0.63,5,5,27.868852459,0.028810000000000002,22.807404,90.635883,"Bede polli, Bhola Sadar Subdistrict, Bangladesh"
0.25,1,1,3.2786885246,-0.69886,22.530139,90.708757,"Manan Hawlader Bari Jame Mosque, Kacha Road of 2 & 3 no ward, Bhola District, - 8320, Bangladesh"
12.67,27,24,71.3114754098,-0.7337100000000001,22.242496,90.682281,"Bhola District, -, Bangladesh"
1.58,9,8,23.7704918033,-0.7701800000000001,22.160582,90.800267,"Bhola District, - 8340, Bangladesh"
0.33,1,2,0.0,-0.8876100000000001,22.204696,90.678519,"Bhola District, -, Bangladesh"
1.67,4,3,0.0,-1.03682,22.632841,90.697578,"Bhola District, - 8300, Bangladesh"
0.8300000000000001,6,7,13.9344262295,-0.23332000000000003,22.289165,90.801934,"Bhola District, - 8330, Bangladesh"
0.8300000000000001,3,4,13.1147540984,-0.7181900000000001,22.333506,90.800834,"Bhola District, Lalmohan - 8330, Bangladesh"
1.17,2,4,8.1967213115,-1.1219000000000001,22.645013,90.131265,"Jhalokathi, Jhalakathi Sadar Subdistrict, Bangladesh"
0.08,1,1,9.0163934426,-0.17152,22.405903,90.105869,"Kathalia, Kathalia Subdistrict, Bangladesh"
1.25,7,9,41.8032786885,0.047150000000000004,22.608337,90.370969,"Nalchity Subdistrict, Bangladesh"
0.08,0,1,0.0,-0.7242500000000001,22.538455,90.191775,"Nalchity Subdistrict, Bangladesh"
0.17,1,0,0.0,-0.82452,22.344413,90.445328,"Patuakhali District, Bahermauza -, Bangladesh"
0.33,3,2,4.9180327869,-0.44656,22.466397,90.53960000000001,"Patuakhali District, -, Bangladesh"
